Trade number,Instrument,Market_position,Qty,Entry_price,Exit_price,Entry_time,Exit_time,Entry_name,Exit_name,Profit,Cum_net_profit,Commission,MAE,MFE,Bars
1,NQ MAR25,Long,1,7402.5,7398.75,2/14/2017 13:21,2/14/2017 15:00,LongEntry,StopLoss,($79.18),($79.18),$4.18 ,$105.00 ,$65.00 ,12
2,NQ MAR25,Long,1,7421.25,7416.25,2/15/2017 11:42,2/15/2017 11:51,LongEntry,StopLoss,($104.18),($183.36),$4.18 ,$105.00 ,$15.00 ,2
3,NQ MAR25,Long,1,7442.25,7436.5,2/16/2017 10:39,2/16/2017 10:57,LongEntry,StopLoss,($119.18),($302.54),$4.18 ,$135.00 ,$95.00 ,3
4,NQ MAR25,Long,1,7449.75,7461.75,2/17/2017 15:00,2/17/2017 17:00,LongEntry,Exit on session close,$235.82 ,($66.72),$4.18 ,$45.00 ,$240.00 ,14
5,NQ MAR25,Long,1,7470.5,7477.25,2/20/2017 11:24,2/20/2017 12:36,LongEntry,ProfitTarget,$130.82 ,$64.10 ,$4.18 ,$5.00 ,$140.00 ,9
6,NQ MAR25,Short,1,7470,7474.75,2/21/2017 14:06,2/21/2017 14:24,ShortEntry,StopLoss,($99.18),($35.08),$4.18 ,$100.00 ,$0.00 ,3
7,NQ MAR25,Short,1,7477.5,7482.25,2/22/2017 11:24,2/22/2017 11:42,ShortEntry,StopLoss,($99.18),($134.26),$4.18 ,$110.00 ,$10.00 ,3
8,NQ MAR25,Short,1,7465.75,7454,2/23/2017 10:39,2/23/2017 11:06,ShortEntry,ProfitTarget,$230.82 ,$96.56 ,$4.18 ,$80.00 ,$255.00 ,4
9,NQ MAR25,Long,1,7453.25,7476,2/24/2017 10:57,2/24/2017 17:00,LongEntry,Exit on session close,$450.82 ,$547.38 ,$4.18 ,$90.00 ,$495.00 ,41
10,NQ MAR25,Long,1,7471.25,7477,2/27/2017 10:57,2/27/2017 17:00,LongEntry,Exit on session close,$110.82 ,$658.20 ,$4.18 ,$70.00 ,$225.00 ,41
11,NQ MAR25,Short,1,7471.5,7475,2/28/2017 10:57,2/28/2017 11:06,ShortEntry,StopLoss,($74.18),$584.02 ,$4.18 ,$80.00 ,$0.00 ,2
12,NQ MAR25,Long,1,7509.75,7526,3/1/2017 11:24,3/1/2017 12:18,LongEntry,ProfitTarget,$320.82 ,$904.84 ,$4.18 ,$25.00 ,$335.00 ,7
13,NQ MAR25,Long,1,7507.5,7500,3/2/2017 12:18,3/2/2017 12:36,LongEntry,StopLoss,($154.18),$750.66 ,$4.18 ,$195.00 ,$0.00 ,3
14,NQ MAR25,Long,1,7498.75,7506.25,3/3/2017 14:06,3/3/2017 17:00,LongEntry,Exit on session close,$145.82 ,$896.48 ,$4.18 ,$60.00 ,$165.00 ,20
15,NQ MAR25,Long,1,7484.75,7496,3/6/2017 12:54,3/6/2017 13:39,LongEntry,ProfitTarget,$220.82 ,"$1,117.30 ",$4.18 ,$25.00 ,$260.00 ,6
16,NQ MAR25,Short,1,7496.5,7484.75,3/7/2017 11:24,3/7/2017 12:18,ShortEntry,ProfitTarget,$230.82 ,"$1,348.12 ",$4.18 ,$30.00 ,$310.00 ,7
17,NQ MAR25,Long,1,7498,7490.75,3/8/2017 12:54,3/8/2017 14:33,LongEntry,StopLoss,($149.18),"$1,198.94 ",$4.18 ,$170.00 ,$185.00 ,12
18,NQ MAR25,Short,1,7493.5,7500,3/9/2017 10:48,3/9/2017 11:06,ShortEntry,StopLoss,($134.18),"$1,064.76 ",$4.18 ,$130.00 ,$30.00 ,3
19,NQ MAR25,Short,1,7504,7513.25,3/10/2017 13:12,3/10/2017 14:33,ShortEntry,StopLoss,($189.18),$875.58 ,$4.18 ,$190.00 ,$150.00 ,10
20,NQ MAR25,Long,1,7522.5,7518.5,3/13/2017 12:18,3/13/2017 12:36,LongEntry,StopLoss,($84.18),$791.40 ,$4.18 ,$110.00 ,$5.00 ,3
21,NQ MAR25,Short,1,7498.75,7503,3/14/2017 10:48,3/14/2017 11:06,ShortEntry,StopLoss,($89.18),$702.22 ,$4.18 ,$85.00 ,$110.00 ,3
22,NQ MAR25,Long,1,7523,7547.25,3/15/2017 12:36,3/15/2017 14:15,LongEntry,ProfitTarget,$480.82 ,"$1,183.04 ",$4.18 ,$10.00 ,$525.00 ,12
23,NQ MAR25,Short,1,7544.25,7535.25,3/16/2017 10:48,3/16/2017 11:51,ShortEntry,ProfitTarget,$175.82 ,"$1,358.86 ",$4.18 ,$65.00 ,$245.00 ,8
24,NQ MAR25,Long,1,7547,7538.75,3/17/2017 12:18,3/17/2017 17:00,LongEntry,Exit on session close,($169.18),"$1,189.68 ",$4.18 ,$215.00 ,$160.00 ,32
25,NQ MAR25,Long,1,7556,7553,3/20/2017 10:39,3/20/2017 11:15,LongEntry,StopLoss,($64.18),"$1,125.50 ",$4.18 ,$75.00 ,$15.00 ,5
26,NQ MAR25,Short,1,7537.25,7535.75,3/21/2017 10:39,3/21/2017 10:48,ShortEntry,StopLoss,$25.82 ,"$1,151.32 ",$4.18 ,$105.00 ,$55.00 ,2
27,NQ MAR25,Long,1,7482.25,7500.75,3/22/2017 11:15,3/22/2017 15:36,LongEntry,ProfitTarget,$365.82 ,"$1,517.14 ",$4.18 ,$95.00 ,$475.00 ,30
28,NQ MAR25,Long,1,7498.25,7490.75,3/23/2017 10:57,3/23/2017 13:21,LongEntry,StopLoss,($154.18),"$1,362.96 ",$4.18 ,$210.00 ,$180.00 ,17
29,NQ MAR25,Long,1,7523.25,7514,3/24/2017 12:09,3/24/2017 12:27,LongEntry,StopLoss,($189.18),"$1,173.78 ",$4.18 ,$280.00 ,$15.00 ,3
30,NQ MAR25,Long,1,7478,7495.75,3/27/2017 10:39,3/27/2017 11:42,LongEntry,ProfitTarget,$350.82 ,"$1,524.60 ",$4.18 ,$15.00 ,$415.00 ,8
31,NQ MAR25,Long,1,7533.25,7550.5,3/28/2017 13:30,3/28/2017 14:24,LongEntry,ProfitTarget,$340.82 ,"$1,865.42 ",$4.18 ,$50.00 ,$370.00 ,7
32,NQ MAR25,Long,1,7556.5,7549,3/29/2017 10:48,3/29/2017 11:15,LongEntry,StopLoss,($154.18),"$1,711.24 ",$4.18 ,$180.00 ,$25.00 ,4
33,NQ MAR25,Short,1,7563.25,7566.5,3/30/2017 12:18,3/30/2017 12:45,ShortEntry,StopLoss,($69.18),"$1,642.06 ",$4.18 ,$110.00 ,$15.00 ,4
34,NQ MAR25,Long,1,7579.5,7573.75,3/31/2017 12:36,3/31/2017 14:06,LongEntry,StopLoss,($119.18),"$1,522.88 ",$4.18 ,$115.00 ,$60.00 ,11
35,NQ MAR25,Short,1,7558.5,7546.5,4/3/2017 11:06,4/3/2017 11:24,ShortEntry,ProfitTarget,$235.82 ,"$1,758.70 ",$4.18 ,$30.00 ,$335.00 ,3
36,NQ MAR25,Long,1,7559,7552.5,4/4/2017 10:48,4/4/2017 10:57,LongEntry,StopLoss,($134.18),"$1,624.52 ",$4.18 ,$140.00 ,$5.00 ,2
37,NQ MAR25,Long,1,7595,7606,4/5/2017 10:39,4/5/2017 12:36,LongEntry,ProfitTarget,$215.82 ,"$1,840.34 ",$4.18 ,$75.00 ,$270.00 ,14
38,NQ MAR25,Long,1,7559.75,7548.75,4/6/2017 11:24,4/6/2017 12:54,LongEntry,StopLoss,($224.18),"$1,616.16 ",$4.18 ,$245.00 ,$145.00 ,11
39,NQ MAR25,Short,1,7544.5,7552.75,4/7/2017 11:24,4/7/2017 12:27,ShortEntry,StopLoss,($169.18),"$1,446.98 ",$4.18 ,$220.00 ,$15.00 ,8
40,NQ MAR25,Short,1,7562.75,7544.75,4/10/2017 11:24,4/10/2017 11:51,ShortEntry,ProfitTarget,$355.82 ,"$1,802.80 ",$4.18 ,$35.00 ,$375.00 ,4
41,NQ MAR25,Short,1,7499.5,7503.25,4/11/2017 10:48,4/11/2017 11:51,ShortEntry,StopLoss,($79.18),"$1,723.62 ",$4.18 ,$195.00 ,$235.00 ,8
42,NQ MAR25,Short,1,7500.75,7509.5,4/12/2017 12:00,4/12/2017 12:27,ShortEntry,StopLoss,($179.18),"$1,544.44 ",$4.18 ,$190.00 ,$25.00 ,4
43,NQ MAR25,Short,1,7513,7500.25,4/13/2017 12:36,4/13/2017 13:21,ShortEntry,ProfitTarget,$250.82 ,"$1,795.26 ",$4.18 ,$50.00 ,$325.00 ,6
44,NQ MAR25,Short,1,7511.75,7516.5,4/17/2017 12:18,4/17/2017 13:39,ShortEntry,StopLoss,($99.18),"$1,696.08 ",$4.18 ,$125.00 ,$30.00 ,10
45,NQ MAR25,Long,1,7516.5,7521.25,4/18/2017 13:48,4/18/2017 17:00,LongEntry,Exit on session close,$90.82 ,"$1,786.90 ",$4.18 ,$65.00 ,$195.00 ,22
46,NQ MAR25,Long,1,7558.25,7550.5,4/19/2017 11:33,4/19/2017 12:18,LongEntry,StopLoss,($159.18),"$1,627.72 ",$4.18 ,$200.00 ,$45.00 ,6
47,NQ MAR25,Long,1,7555.25,7570.75,4/20/2017 11:42,4/20/2017 12:18,LongEntry,ProfitTarget,$305.82 ,"$1,933.54 ",$4.18 ,$30.00 ,$325.00 ,5
48,NQ MAR25,Long,1,7573.25,7567.5,4/21/2017 10:39,4/21/2017 10:48,LongEntry,StopLoss,($119.18),"$1,814.36 ",$4.18 ,$115.00 ,$0.00 ,2
49,NQ MAR25,Long,1,7669.75,7677,4/25/2017 11:33,4/25/2017 13:39,LongEntry,ProfitTarget,$140.82 ,"$1,955.18 ",$4.18 ,$45.00 ,$210.00 ,15
50,NQ MAR25,Long,1,7682,7679.5,4/26/2017 13:30,4/26/2017 13:48,LongEntry,StopLoss,($54.18),"$1,901.00 ",$4.18 ,$150.00 ,$0.00 ,3
51,NQ MAR25,Long,1,7697.25,7693,4/27/2017 13:12,4/27/2017 14:42,LongEntry,StopLoss,($89.18),"$1,811.82 ",$4.18 ,$145.00 ,$20.00 ,11
52,NQ MAR25,Short,1,7706,7712,4/28/2017 12:00,4/28/2017 12:27,ShortEntry,StopLoss,($124.18),"$1,687.64 ",$4.18 ,$125.00 ,$25.00 ,4
53,NQ MAR25,Long,1,7742.75,7752.25,5/1/2017 10:57,5/1/2017 12:45,LongEntry,ProfitTarget,$185.82 ,"$1,873.46 ",$4.18 ,$15.00 ,$210.00 ,13
54,NQ MAR25,Short,1,7768,7752.75,5/2/2017 13:21,5/2/2017 17:00,ShortEntry,Exit on session close,$300.82 ,"$2,174.28 ",$4.18 ,$55.00 ,$315.00 ,25
55,NQ MAR25,Short,1,7737,7744.75,5/3/2017 11:15,5/3/2017 11:33,ShortEntry,StopLoss,($159.18),"$2,015.10 ",$4.18 ,$180.00 ,$0.00 ,3
56,NQ MAR25,Long,1,7752.5,7745.75,5/4/2017 10:39,5/4/2017 11:06,LongEntry,StopLoss,($139.18),"$1,875.92 ",$4.18 ,$140.00 ,$45.00 ,4
57,NQ MAR25,Short,1,7750.75,7756.75,5/5/2017 10:39,5/5/2017 12:09,ShortEntry,StopLoss,($124.18),"$1,751.74 ",$4.18 ,$135.00 ,$95.00 ,11
